K	Variance
396	5.4014836E-6
397	5.425783E-6
398	5.5364803E-6
399	4.9774003E-6
400	5.4842412E-6
401	5.0466456E-6
402	5.262222E-6
403	5.3166896E-6
404	5.4213306E-6
405	5.245296E-6
406	4.9871264E-6
407	5.063478E-6
408	5.2826695E-6
409	5.0736658E-6
410	5.0395415E-6
411	5.015612E-6
412	4.917491E-6
413	5.0786857E-6
414	4.7346425E-6
415	5.070593E-6
416	5.337921E-6
417	5.121594E-6
418	5.352361E-6
419	5.029065E-6
420	5.050893E-6
421	4.7245294E-6
422	5.250185E-6
423	4.4559406E-6
424	4.8589586E-6
425	4.791457E-6
426	4.62873E-6
427	4.8308457E-6
428	5.0774547E-6
429	4.96171E-6
430	4.386697E-6
431	4.795359E-6
432	4.6523746E-6
433	5.26854E-6
434	4.725912E-6
435	4.8608576E-6
436	4.9384043E-6
437	4.940516E-6
438	4.7309295E-6
439	5.083866E-6
440	5.0598323E-6
441	4.6373075E-6
442	5.013656E-6
443	4.9594923E-6
444	4.1082694E-6
445	4.2902752E-6
446	4.675074E-6
447	4.7887E-6
448	4.705731E-6
449	4.7372437E-6
450	4.465804E-6
451	4.6275413E-6
452	4.357736E-6
453	4.4519056E-6
454	4.7031685E-6
455	4.5631277E-6
456	4.350752E-6
457	4.7411495E-6
458	4.6321666E-6
459	4.1272983E-6
460	4.3763093E-6
461	4.4624994E-6
462	4.3630716E-6
463	4.1653893E-6
464	4.5034085E-6
465	4.475675E-6
466	4.4157205E-6
467	4.2714523E-6
468	4.8811557E-6
469	4.3090267E-6
470	4.353351E-6
471	4.402313E-6
472	4.213198E-6
473	4.632339E-6
474	3.8881008E-6
475	4.311457E-6
476	4.1920503E-6
477	3.9810484E-6
478	4.380532E-6
479	4.5277297E-6
480	4.0493546E-6
481	4.1363537E-6
482	4.17264E-6
483	4.345838E-6
484	4.666027E-6
485	4.347446E-6
486	3.6018093E-6
487	4.1751955E-6
488	4.5409465E-6
489	4.2484457E-6
490	4.210257E-6
491	4.112511E-6
492	3.7575833E-6
493	4.3177893E-6
494	3.989928E-6
495	4.4140606E-6
