K	Variance
340	0.031944524
341	0.031508766
342	0.03192701
343	0.031350117
344	0.03241091
345	0.030607387
346	0.030865528
347	0.031717386
348	0.031950936
349	0.031157648
350	0.03167336
351	0.030833473
352	0.031846326
353	0.03118337
354	0.031115586
355	0.030881867
356	0.031380296
357	0.03108827
358	0.031721845
359	0.030928984
360	0.031593766
361	0.031007126
362	0.030733949
363	0.031258542
364	0.03145462
365	0.030069526
366	0.030502612
367	0.031062678
368	0.031042136
369	0.02993481
370	0.030004548
371	0.03036624
372	0.030921035
373	0.031355675
374	0.03067137
375	0.03073855
376	0.02992199
377	0.029771462
378	0.030012945
379	0.030502079
380	0.030460427
381	0.030243674
382	0.030255297
383	0.0294346
384	0.029751064
385	0.029228294
386	0.030285237
387	0.029708328
388	0.029726211
389	0.0293536
390	0.030148124
391	0.030107101
392	0.029591681
393	0.030232212
394	0.029591164
395	0.029331692
396	0.029605785
397	0.02959696
398	0.02967028
399	0.029359762
400	0.028999178
401	0.02937785
402	0.029718384
403	0.02884737
404	0.02933567
405	0.029224504
406	0.029403582
407	0.028380817
408	0.028928977
409	0.0290776
410	0.028849503
411	0.028790807
412	0.028385589
413	0.028760022
414	0.028385423
415	0.029094636
416	0.02940056
417	0.029144788
418	0.029207788
419	0.028795304
420	0.02927305
421	0.029487541
422	0.028879656
423	0.028415637
424	0.028863953
425	0.028145697
426	0.028237218
427	0.02849855
428	0.028470404
429	0.02819282
430	0.0282372
431	0.028915862
432	0.02898841
433	0.028572742
434	0.028376477
435	0.028159307
436	0.028328145
437	0.027838767
438	0.027751373
439	0.028576825
440	0.027715808
441	0.028318614
442	0.028801315
443	0.027936729
444	0.027720405
445	0.028273558
446	0.02802219
447	0.027829804
448	0.027706427
449	0.027645914
450	0.0281909
451	0.027900202
452	0.026804132
453	0.02753749
454	0.02747835
455	0.027450392
456	0.027775932
457	0.027371295
458	0.028104395
459	0.027151588
460	0.028004758
461	0.027711185
462	0.027688488
463	0.027468005
464	0.02775362
465	0.02734693
466	0.027244367
467	0.027887959
468	0.027783806
469	0.027151112
470	0.027805375
471	0.027003763
472	0.027570857
473	0.02695113
474	0.027138941
475	0.027414972
476	0.02710548
477	0.026636936
478	0.027059088
479	0.026758542
480	0.02665364
481	0.026744284
482	0.027226586
483	0.026835812
484	0.026914787
485	0.02663688
486	0.027037375
487	0.026757147
488	0.027114905
489	0.026481338
490	0.026927307
491	0.026254207
492	0.02663754
493	0.026520442
494	0.026121626
495	0.026598878
496	0.026665755
497	0.02645929
498	0.02594571
499	0.026293103
500	0.02619738
