K;s2
222;0.03779886
223;0.03763287
224;0.038995147
225;0.037484117
226;0.03685405
227;0.03622794
228;0.037289005
229;0.036451973
230;0.0375626
231;0.035385534
232;0.034991354
233;0.036043808
234;0.037205048
235;0.037549946
236;0.034560144
237;0.03564427
238;0.035382003
239;0.036157142
240;0.037038505
241;0.036317136
242;0.03622856
243;0.035507746
244;0.035568096
245;0.033765636
246;0.035761934
247;0.034390535
248;0.034929488
249;0.03495187
250;0.035609026
251;0.034809653
252;0.034781285
253;0.03503347
254;0.03533219
255;0.035316296
256;0.035970747
257;0.03469532
258;0.03527701
259;0.034631785
260;0.03399159
261;0.03423238
262;0.033741094
263;0.03610724
264;0.035026077
265;0.033908084
266;0.033779237
267;0.03542219
268;0.033649504
269;0.033711012
270;0.033511326
271;0.0335129
272;0.03290128
273;0.033472925
274;0.033567052
275;0.034318868
276;0.033004165
277;0.033281382
278;0.03311412
279;0.034585726
280;0.03205668
281;0.034382846
282;0.03425787
283;0.033377312
284;0.033299528
285;0.032629
286;0.031997066
287;0.034665704
288;0.03327364
289;0.033395983
290;0.03384619
291;0.032870032
292;0.032165978
293;0.033561625
294;0.032692693
295;0.03350443
296;0.032430343
297;0.032624975
298;0.032721087
299;0.03213073
300;0.03228059
301;0.03276999
302;0.03192204
303;0.03255582
304;0.032164533
305;0.032452334
306;0.0326928
307;0.031345125
308;0.032468528
309;0.032053746
310;0.03154865
311;0.03157826
312;0.032390516
313;0.031643342
314;0.03181571
315;0.031504694
316;0.030499512
317;0.03139375
318;0.032125127
319;0.03213572
320;0.031521443
321;0.031931393
322;0.031662095
323;0.03140305
324;0.031922817
325;0.031252153
326;0.03174161
327;0.032034136
328;0.03088351
329;0.0307177
330;0.030533291
331;0.031143906
332;0.0310608
333;0.03087688
334;0.030600652
335;0.03075421
336;0.03095293
337;0.030067477
338;0.031519324
339;0.030842727
340;0.030666267
341;0.030257078
342;0.029867228
343;0.030875951
344;0.029960284
345;0.030861698
346;0.030407768
347;0.030863086
348;0.030653432
349;0.03041119
350;0.02958517
351;0.030798336
352;0.030102292
353;0.030685397
354;0.029429432
355;0.029656384
356;0.030436184
357;0.029616076
358;0.029971616
359;0.029227491
360;0.029545005
361;0.028926909
362;0.029504236
363;0.029285088
364;0.029130345
365;0.029342044
366;0.029920824
367;0.02987687
368;0.029276116
369;0.029442986
370;0.029327389
371;0.028986357
372;0.02920293
373;0.029259335
374;0.030317027
375;0.028947392
376;0.029393608
377;0.028892202
378;0.028994067
379;0.028921632
380;0.029204406
381;0.028879697
382;0.029477665
383;0.028489744
384;0.029518865
385;0.028635496
386;0.029210215
387;0.028703652
388;0.028624808
389;0.028652735
390;0.027981618
391;0.028206004
392;0.028468408
393;0.02786616
394;0.028670665
395;0.027837854
396;0.027973153
397;0.028219981
398;0.028190764
399;0.027547276
400;0.028228844
401;0.028838646
402;0.028532112
403;0.027732572
404;0.028361434
405;0.02808748
406;0.027517827
407;0.028402328
408;0.02802309
409;0.028474988
410;0.02764068
411;0.028141586
412;0.027638614
413;0.028486313
414;0.027700014
415;0.027753154
416;0.027861044
417;0.027993485
418;0.02653576
419;0.027027417
420;0.027207488
421;0.026718423
422;0.027694417
423;0.027067108
424;0.027111925
425;0.027514603
426;0.02714735
427;0.027110029
428;0.02761878
429;0.02693079
430;0.027049879
431;0.026831634
432;0.026781434
433;0.027354013
434;0.027515708
435;0.026592927
436;0.026212983
437;0.026881818
438;0.026907919
439;0.026862813
440;0.026590347
441;0.026970461
442;0.026597574
443;0.026922561
444;0.027179217
445;0.027213851
446;0.02664711
447;0.0272655
448;0.027243422
449;0.026389243
450;0.026750816
451;0.025958393
452;0.026196454
453;0.026834859
454;0.027314726
455;0.026529064
456;0.026082005
457;0.026033679
458;0.0265533
459;0.026640188
460;0.025914231
461;0.026344918
462;0.026000638
463;0.026330298
464;0.02587575
465;0.025910333
466;0.026007928
467;0.025932677
468;0.025795912
469;0.025507824
470;0.02597047
471;0.026100155
472;0.025411205
473;0.02578891
474;0.026333382
475;0.025458558
476;0.026102506
477;0.025331786
478;0.025608504
479;0.025508305
480;0.025204875
481;0.025989395
482;0.025954196
483;0.025393162
