K;s2
340;0.031523604
341;0.031987038
342;0.031099165
343;0.03170497
344;0.031693537
345;0.03084011
346;0.031417746
347;0.030799953
348;0.031201435
349;0.03246568
350;0.031580612
351;0.031408966
352;0.031486534
353;0.03126252
354;0.03167381
355;0.03085727
356;0.031213166
357;0.031705547
358;0.030924074
359;0.03149392
360;0.031171093
361;0.031365674
362;0.030788565
363;0.031674165
364;0.03048256
365;0.030916987
366;0.030113958
367;0.031112118
368;0.031625878
369;0.031103365
370;0.030624067
371;0.031208308
372;0.030291617
373;0.029932098
374;0.030638505
375;0.031076066
376;0.030210642
377;0.030421227
378;0.03008072
379;0.030482424
380;0.030256003
381;0.029955626
382;0.030614294
383;0.029793782
384;0.029919636
385;0.02959179
386;0.030608369
387;0.029295223
388;0.029732618
389;0.029261991
390;0.029614214
391;0.029680293
392;0.029025791
393;0.030069722
394;0.02964611
395;0.029854314
396;0.029341545
397;0.029209869
398;0.029895902
399;0.029582918
400;0.029760985
401;0.029754434
402;0.029318511
403;0.029368494
404;0.029234571
405;0.029338751
406;0.029472541
407;0.028896794
408;0.029158063
409;0.028922237
410;0.029677587
411;0.028823689
412;0.029203368
413;0.029112512
414;0.029020442
415;0.028959684
416;0.029073235
417;0.02848956
418;0.029148323
419;0.029268345
420;0.029091718
421;0.028790973
422;0.028871499
423;0.02842312
424;0.028194018
425;0.028039834
426;0.028055616
427;0.028587256
428;0.02932826
429;0.028817322
430;0.02857399
431;0.02945267
432;0.027910694
433;0.028539289
434;0.028626526
435;0.02913394
436;0.028309496
437;0.028540628
438;0.028268827
439;0.028810669
440;0.027856147
441;0.027471468
442;0.0279258
443;0.028071554
444;0.028169835
445;0.027499016
446;0.027639858
447;0.027760189
448;0.027858306
449;0.027775602
450;0.027527774
451;0.027814481
452;0.027475
453;0.027721079
454;0.027450211
455;0.02742064
456;0.027634893
457;0.027555134
458;0.027226908
459;0.02733453
460;0.028053151
461;0.027374592
462;0.027517723
463;0.026934749
464;0.027083814
465;0.02741494
466;0.027176408
467;0.027567828
468;0.02708482
469;0.02719885
470;0.027383164
471;0.027094496
472;0.027098287
473;0.026674677
474;0.027139341
475;0.026893726
476;0.027050558
477;0.027671678
478;0.026681645
479;0.026623515
480;0.02731652
481;0.026553666
482;0.02698824
483;0.02760223
484;0.026625326
485;0.027019091
486;0.026953261
487;0.02739873
488;0.026378123
489;0.026273385
490;0.026421696
491;0.026265463
492;0.026791533
493;0.02652689
494;0.026745083
495;0.026729528
496;0.02621908
497;0.026364414
498;0.02641301
499;0.02678068
500;0.026345521
501;0.026162928
502;0.02666821
503;0.026317308
504;0.02590504
505;0.026255583
506;0.026108801
507;0.025780804
508;0.025881892
509;0.025877832
510;0.026428416
511;0.02573867
512;0.02535696
513;0.025859844
514;0.025849001
515;0.02581692
516;0.025859395
517;0.025787925
518;0.026661081
519;0.025772646
520;0.025966495
521;0.02458758
522;0.025412818
523;0.02522122
524;0.025641983
525;0.025673661
526;0.025287077
527;0.02559273
528;0.025489567
529;0.025262916
530;0.02518722
531;0.025637593
532;0.025324786
533;0.025867846
534;0.025487298
535;0.025536023
536;0.024673041
537;0.025280539
538;0.025158387
539;0.025765836
540;0.024748817
541;0.025225306
542;0.025334682
543;0.02520228
544;0.025117792
545;0.025265014
546;0.02547879
547;0.02498789
548;0.025057076
549;0.024688128
550;0.024886928
551;0.025187062
552;0.024595885
553;0.02461278
554;0.024986757
555;0.02472255
556;0.025189677
557;0.024826964
558;0.024749193
559;0.024721581
560;0.02532184
561;0.0243442
562;0.02432841
563;0.02520005
564;0.024667623
565;0.02497214
566;0.024497686
567;0.024862634
568;0.024697147
569;0.024382554
570;0.024310771
571;0.024327617
572;0.024214087
573;0.024570689
574;0.023740472
575;0.024437642
576;0.024049722
577;0.024101224
578;0.02466328
579;0.023936352
580;0.02427092
581;0.024840374
582;0.024075989
583;0.0240919
584;0.023885095
585;0.024473032
586;0.024226373
587;0.024127832
588;0.023536459
589;0.024518795
590;0.024366058
591;0.023662012
592;0.024432726
593;0.023725158
594;0.024203906
595;0.024018073
596;0.023552084
597;0.02375187
598;0.024090443
599;0.024055915
600;0.024022222
